ALC,Origin,Destination,Number,FL Cap,Track,Production,Disabled,Deletion Date,Route,G/C,Distance,EU Emissions,Source,Updated,Valid Days,Valid Date,Valid From,Valid To,Aircraft,Acft Type,Route Qual,Origin Rwy,Destination Rwy,Comments
,PGSN,RKPC,99,390,,Yes,No,,PGSN DCT RIDLL G339 LUKRA DCT KAGYA G339 HKC A582 IKE A595 SAMDO Y677 TAMNA TAMNA2P RKPC,1520,1741,1569,MJ,2025-08-19 0533,,,,,,,,7,7,"1. SPN/CJU RTE(FL250) 2. MEA FL210(A595) 3. RNAV5(Y677) 4. DUAL
HF REQUIRED 5. SINGLE GPS REQUIRED 6. 2020-03-20   
"
,PGSN,RKPK,1,390,,Yes,No,,PGSN DCT RIDLL G339 LUKRA Y208 INVOK PEDLO2 RKPK,1506,1577,1555,GL,2021-12-15 2305,,,,,,,,7,36L,"1. SPN/PUS NML RTE
2. SPN DEP RWY 07
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK
- SPN PREF RWY 07 UP TO T/W 10KT

"
,PGSN,RKPK,2,390,,Yes,No,,PGSN DCT RIDLL G339 LUKRA Y208 INVOK PEDLO2 RKPK,1506,1577,1555,GL,2021-12-15 2305,,,,,,,,25,36L,"1. SPN/PUS NML RTE
2. SPN DEP RWY 25
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK
- SPN PREF RWY 07 UP TO T/W 10KT

"
,PGSN,RKPK,20,390,,Yes,No,,PGSN DCT RICHH A597 OTOWA DCT KEC V55 YME Y18 MIHOU Y206 KALEK PEDLO2 RKPK,1506,1701,1555,MJ,2024-12-06 0049,,,,,,,,7,36L,"1. SPN/PUS DETOUR(KIX) RTE 2. SPN DEP RWY 07 3. NIL 4. RQ DUAL
HF, EDTO A/C 5. RMK     
"
,PGSN,RKPK,21,390,,Yes,No,,PGSN DCT RIDLL G339 SABGU A339 TAXON A597 OTOWA DCT KEC V55 YME Y18 MIHOU Y206 KALEK Z84 PSN RKPK,1506,1857,1555,MJ,2024-12-06 0050,,,,,,,,7,36L,"1. SPN/PUS DETOUR(KIX) RTE 2. SPN DEP RWY 07 3. NIL 4. RQ DUAL
HF, EDTO A/C 5. RMK - G339-KIX DETOUR RTE  
"
,PGSN,RKPK,22,390,,Yes,No,,PGSN DCT RIDLL G339 AGIKA Z41 POTET Y579 RUGMA Z85 PAPLU Y571 ANROD KEVOX3 RKPK,1506,1715,1555,TL,2022-12-16 0757,,,,,,,,7,36L,"1. SPN/PUS DETOUR(Z41) RTE
2. SPN DEP RWY 07
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK
- CHK Z41 AVBL VIA NOTAM

"
,PGSN,RKPK,30,390,,Yes,No,,PGSN DCT TOESS B586 XAC V17 SZE Y295 YME Y18 MIHOU Y206 KALEK Z84 PSN RKPK,1506,1773,1555,GL,2021-12-15 2332,,,,,,,,7,36L,"1. SPN/ICN DETOUR(NGO) RTE
2. SPN DEP RWY 07
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK

"
,PGSN,RKPK,40,390,,Yes,No,,PGSN DCT TERYY G205 TEGOD A337 DAGDA Y820 INUBO Y16 TEPEX Y22 MIHOU Y206 KALEK Z84 PSN RKPK,1506,1867,1555,GL,2021-12-15 2320,,,,,,,,7,36L,"1. SPN/ICN DETOUR(NRT) RTE
2. SPN DEP RWY 07
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK
"
,PGSN,RKPK,50,390,,Yes,No,,PGSN DCT OTTRE R584 KEITH A339 SABGU G339 LUKRA Y208 INVOK PEDLO2 RKPK,1506,1708,1555,SK,2025-06-17 0023,,,,,,,,7,36L,"1. SPN/PUS DETOUR(KEITH) RTE 2. SPN DEP RWY 07 3. NIL 4. RQ
DUAL HF, EDTO A/C 5. RMK - MUST BE LOADED LIFE RAFT    
"
,PGSN,RKPK,51,390,,Yes,No,,PGSN DCT OTTRE R584 SALVA R595 SAKON Y27 RUSAR Y579 RUGMA Z85 PAPLU Y571 ANROD KEVOX3 RKPK,1506,1980,1555,SK,2025-06-17 0024,,,,,,,,7,36L,"1. SPN/PUS DETOUR(OKA) RTE 2. SPN DEP RWY 07 3. NIL 4. RQ DUAL
HF, EDTO A/C 5. RMK - KEITH-OKA DETOUR RTE - MUST BE LOADED
LIFE RAFT   
"
,PGSN,RKPK,81,250,,Yes,No,,PGSN DCT RIDLL G339 INVOK Z91 PSN DCT INVOK PEDLO2 RKPK,1506,1634,1555,GL,2021-12-15 2337,,,,,,,,7,36L,"1. SPN/PUS 1PACK RTE
2. SPN DEP RWY 07
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK
- BLW FL250
"
,PGSN,RKPK,90,390,,Yes,No,,PGSN DCT RIDLL G339 LUKRA Y208 INVOK PEDLO2 RKPK,1506,1577,1555,MJ,2025-08-19 0534,,,,,,,,7,36L,"1. SPN/PUS NML RTE 2. SPN DEP RWY 07 3. NIL 4. RQ DUAL HF, EDTO
A/C 5. RMK - SPN PREF RWY 07 UP TO T/W 10KT  
"
,PGSN,RKPK,91,390,,Yes,No,,PGSN DCT TOESS B586 XAC V17 TRIKE G597 YME Y18 MIHOU Y206 KALEK PEDLO2 RKPK,1506,1784,1555,TL,2022-04-12 1656,,,,,,,,25,36R,"1.PGSN-RKPK DETOUR / TYPH MALAKAS
2. 2022-04-12 TKLEE
"
,PGSN,RKPK,98,390,,Yes,No,,PGSN DCT RICHH A597 BUBDO Y47 KEC Y24 SUC Y501 SASIK Y208 INVOK PEDLO2 RKPK,1506,1728,1555,MJ,2024-10-28 0815,,,,,,,,7,36L,"1. SPN/PUS DETOUR 2. RQ DUAL HF, EDTO A/C 5. RMK - ROCKET
LAUNCH AIP SUP 191/24
"
,PGSN,RKSI,1,390,,Yes,No,,PGSN DCT RIDLL G339 LUKRA Y208 INVOK Z91 PSN Y782 BITUX Z53 BASEM Y685 GUKDO GUKDO2H RKSI,1689,1873,1737,GL,2021-12-15 2304,,,,,,,,7,15L,"1. SPN/ICN NML RTE
2. SPN DEP RWY 07
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK
- SPN PREF RWY 07 UP TO T/W 10KT


"
,PGSN,RKSI,2,390,,Yes,No,,PGSN DCT RIDLL G339 LUKRA Y208 INVOK Z91 PSN Y782 BITUX Z53 BASEM Y685 GUKDO GUKDO2H RKSI,1689,1873,1737,GL,2021-12-10 0116,,,,,,,,25,15L,"1. SPN/ICN NML RTE
2. SPN DEP RWY 25
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK
- SPN PREF RWY 07 UP TO T/W 10KT

"
,PGSN,RKSI,20,380,,Yes,No,,PGSN DCT RICHH A597 OTOWA DCT KEC V55 ROKKO Y38 SAPRA Y685 GUKDO GUKDO2H RKSI,1689,1926,1737,MJ,2024-12-06 0051,,,,,,,,7,15L,"1. SPN/ICN DETOUR(KIX) RTE 2. SPN DEP RWY 07 3. NIL 4. RQ DUAL
HF, EDTO A/C 5. RMK   
"
,PGSN,RKSI,21,390,,Yes,No,,PGSN DCT RIDLL G339 SABGU A339 TAXON A597 OTOWA DCT KEC V55 ROKKO Y38 SAPRA Y685 GUKDO GUKDO2H RKSI,1689,2088,1737,MJ,2024-12-06 0051,,,,,,,,7,15L,"1. SPN/ICN DETOUR(KIX) RTE 2. SPN DEP RWY 07 3. NIL 4. RQ DUAL
HF, EDTO A/C 5. RMK - G339-KIX DETOUR RTE    
"
,PGSN,RKSI,22,390,,Yes,No,,PGSN DCT RIDLL G339 AGIKA Z41 POTET Y579 RUGMA Y572 CJU Y722 OLMEN OLMEN2H RKSI,1689,1890,1737,TL,2022-12-16 0637,,,,,,,,7,15L,"1. SPN/ICN DETOUR(Z41) RTE
2. SPN DEP RWY 07
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK
- CHK Z41 AVBL VIA NOTAM


"
,PGSN,RKSI,30,380,,Yes,No,,PGSN DCT TOESS B586 XAC V17 SZE Y295 YME Y18 MIHOU Y38 SAPRA Y685 GUKDO GUKDO2H RKSI,1689,2017,1737,GL,2021-12-10 0118,,,,,,,,7,15L,"1. SPN/ICN DETOUR(NGO) RTE
2. SPN DEP RWY 07
3. NIL
4. RQ DUAL HF, EDTO A/C
5. RMK



"
